创建新表成功string(44) "1-0-0-安徽安粮国际发展有限公司-1"
string(54) "1-0-0-广东省南海工艺品进出口有限公司-21"
string(45) "1-0-0-广东新宝电器股份有限公司-21"
string(45) "1-0-0-厦门市诚景进出口有限公司-21"
string(42) "1-0-0-无锡艾格尼科技有限公司-21"
string(19) "1-0-0-Camper Gaz-21"
string(45) "1-0-0-慈溪市新秀丽电器有限公司-21"
string(42) "1-0-0-宁波金茂进出口有限公司-21"
string(63) "1-0-0-武汉经济技术开发区经发进出口有限公司-21"
string(48) "1-0-0-北京合知行国际经贸有限公司-21"
string(45) "1-0-0-广东中元创新科技有限公司-21"
string(39) "1-0-0-惠达卫浴股份有限公司-21"
string(36) "1-0-0-厦门建益达有限公司-21"
string(51) "1-0-0-北京冠群信息技术股份有限公司-21"
string(48) "1-0-0-广州北方新能源技术有限公司-21"
string(42) "1-0-0-广州市文搏实业有限公司-21"
string(42) "1-0-0-广州市兆鹰五金有限公司-22"
string(47) "1-0-0-泓泰复合材料(江阴)有限公司-22"
string(39) "1-0-0-宁波东曜电器有限公司-22"
string(51) "1-0-0-中山市新惠景企业发展有限公司-22"
string(42) "1-0-0-四川鸿鑫磊贸易有限公司-22"
string(52) "1-0-0-中艺新国际展览（北京)有限公司-22"
string(45) "1-0-0-北海爱飞数码科技有限公司-22"
string(45) "1-0-0-广东凌丰集团股份有限公司-22"
string(47) "1-0-0-克朗麦克科技(深圳)有限公司-22"
string(45) "1-0-0-宁波凯越国际贸易有限公司-22"
string(45) "1-0-0-长沙中意电子科技有限公司-22"
string(42) "1-0-0-江门市千洋贸易有限公司-22"
string(45) "1-0-0-三信国际电器上海有限公司-22"
string(51) "1-0-0-武汉市银谷进出口贸易有限公司-22"
string(42) "1-0-0-上海东浩新贸易有限公司-22"
string(51) "1-0-0-上海彰兆工艺品进出口有限公司-23"
string(39) "1-0-0-云南尚阮经贸有限公司-23"
string(45) "1-0-0-浙江双宇电子科技有限公司-23"
string(45) "1-0-0-成都锦润实业发展有限公司-23"
string(42) "1-0-0-广州亚俊氏电器有限公司-23"
string(39) "1-0-0-广州倬亿贸易有限公司-23"
string(45) "1-0-0-南京对外经贸发展有限公司-23"
string(42) "1-0-0-西安远东进出口有限公司-23"
string(45) "1-0-0-北方工业湛江发展有限公司-23"
string(36) "1-0-0-常州长城车辆附件厂-23"
string(45) "1-0-0-广东中电富嘉工贸有限公司-23"
string(48) "1-0-0-广州交易会经济发展有限公司-23"
string(45) "1-0-0-海南骏德昌进出口有限公司-23"
string(45) "1-0-0-宁波市金苑进出口有限公司-23"
string(42) "1-0-0-上海新昌进出口有限公司-23"
string(39) "1-0-0-中化物产股份有限公司-24"
string(48) "1-0-0-中新国际供应链集团有限公司-24"
string(48) "1-0-0-安徽省安迈达进出口有限公司-24"
string(45) "1-0-0-北京金桥嘉华科贸有限公司-24"
string(51) "1-0-0-广东省商业贸易进出口有限公司-24"
string(48) "1-0-0-广州市对外贸易白云有限公司-24"
string(51) "1-0-0-中国宁波国际合作有限责任公司-24"
string(45) "1-0-0-阿拉山口万达有限责任公司-24"
string(45) "1-0-0-安徽华宇电子科技有限公司-24"
string(45) "1-0-0-杭州金鱼电器集团有限公司-24"
string(51) "1-0-0-红河州滇越进出口贸易有限公司-24"
string(42) "1-0-0-上海安维克实业有限公司-24"
string(51) "1-0-0-温州国际经济技术合作有限公司-24"
string(54) "1-0-0-浙江中非国际经贸港服务有限公司-24"
string(48) "1-0-0-东莞市金纬洋进出口有限公司-24"
string(54) "1-0-0-佛山市顺德区环润进出口有限公司-25"
string(48) "1-0-0-江西佰仕通电子科技有限公司-25"
string(61) "1-0-0-山东国贸集团-山东万胜进出口有限公司-25"
string(45) "1-0-0-盐城天地国际贸易有限公司-25"
string(42) "1-0-0-北京萨迈进出口有限公司-25"
string(48) "1-0-0-大连中航技经贸发展有限公司-25"
string(33) "1-0-0-九阳股份有限公司-25"
string(39) "1-0-0-昆明萃芩商贸有限公司-25"
string(42) "1-0-0-北京贸诚进出口有限公司-25"
string(51) "1-0-0-广州市曜炜进出口贸易有限公司-25"
string(51) "1-0-0-河南新兴工艺品进出口有限公司-25"
string(48) "1-0-0-厦门市中鹭达进出口有限公司-25"
